index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
19,Presidência da República,2225082.28
8,Ministério da Justiça e Segurança Pública,1383458.68
5,Ministério da Economia,777202.29
6,Ministério da Educação,664002.16
15,Ministério do Meio Ambiente,201597.84
2,"Ministério da Agricultura, Pecuária e Abastec",199148.1
10,Ministério da Saúde,179868.28
4,Ministério da Defesa,178718.33
16,Ministério do Trabalho,92312.98
14,Ministério do Desenvolvimento Regional,74213.82
3,"Ministério da Ciência, Tecnologia, Inovações ",47074.84
13,Ministério de Minas e Energia,43283.24
1,Banco Central do Brasil - Orçamento Fiscal e ,28886.55
0,Advocacia-Geral da União,21355.09
7,Ministério da Infraestrutura,15263.17
12,Ministério das Relações Exteriores,12863.2
11,Ministério das Comunicações,12287.11
18,Ministério do Turismo,8218.73
9,"Ministério da Mulher, Família e Direitos Huma",1996.0
17,Ministério do Trabalho e Emprego,568.2
