index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
20,Presidência da República,2132093.64
9,Ministério da Justiça e Segurança Pública,1756114.97
6,Ministério da Economia,1709398.02
5,Ministério da Defesa,633638.65
7,Ministério da Educação,607310.35
3,"Ministério da Agricultura, Pecuária e Abastec",308436.51
16,Ministério do Meio Ambiente,203065.29
11,Ministério da Saúde,169843.69
17,Ministério do Trabalho,95753.86
4,"Ministério da Ciência, Tecnologia, Inovações ",76919.34
15,Ministério do Desenvolvimento Regional,65926.93000000001
14,Ministério de Minas e Energia,57276.43
1,Banco Central do Brasil - Orçamento Fiscal e ,31421.52
12,Ministério das Comunicações,17403.66
0,Advocacia-Geral da União,15146.01
8,Ministério da Infraestrutura,9541.78
19,Ministério do Turismo,6711.23
10,"Ministério da Mulher, Família e Direitos Huma",2447.4
13,Ministério das Relações Exteriores,1786.21
18,Ministério do Trabalho e Emprego,1711.45
2,Controladoria-Geral da União,1322.45
