index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
16,Presidência da República,1148869.54
5,Ministério da Economia,289343.27
9,Ministério da Saúde,107878.47
6,Ministério da Educação,82460.85
8,Ministério da Justiça e Segurança Pública,72220.36
4,Ministério da Defesa,28726.079999999998
14,Ministério do Trabalho,13243.17
10,Ministério das Comunicações,12474.43
2,"Ministério da Agricultura, Pecuária e Abastec",6956.92
11,Ministério de Minas e Energia,5992.83
12,Ministério do Desenvolvimento Regional,5773.39
1,Banco Central do Brasil - Orçamento Fiscal e ,3836.17
13,Ministério do Meio Ambiente,3248.0
0,Advocacia-Geral da União,3205.4
3,"Ministério da Ciência, Tecnologia, Inovações ",2464.21
7,Ministério da Infraestrutura,1920.99
15,Ministério do Turismo,1174.0
