index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
20,Presidência da República,2004150.51
9,Ministério da Justiça e Segurança Pública,1269188.17
6,Ministério da Economia,900885.74
7,Ministério da Educação,458152.23
3,"Ministério da Agricultura, Pecuária e Abastec",407282.86
5,Ministério da Defesa,378740.95
16,Ministério do Meio Ambiente,255454.78
11,Ministério da Saúde,140872.62
15,Ministério do Desenvolvimento Regional,78503.23
17,Ministério do Trabalho,75589.72
14,Ministério de Minas e Energia,66644.65
4,"Ministério da Ciência, Tecnologia, Inovações ",51821.98
1,Banco Central do Brasil - Orçamento Fiscal e ,23201.85
0,Advocacia-Geral da União,20717.010000000002
18,Ministério do Trabalho e Emprego,11693.64
12,Ministério das Comunicações,10403.2
8,Ministério da Infraestrutura,8369.62
19,Ministério do Turismo,8269.24
2,Controladoria-Geral da União,2733.0
13,Ministério das Relações Exteriores,2484.83
10,"Ministério da Mulher, Família e Direitos Huma",360.0
