index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
19,Presidência da República,2625598.91
9,Ministério da Justiça e Segurança Pública,1818781.35
6,Ministério da Economia,1173505.06
7,Ministério da Educação,648027.37
5,Ministério da Defesa,512856.46
3,"Ministério da Agricultura, Pecuária e Abastec",277559.96
15,Ministério do Meio Ambiente,219231.57
10,Ministério da Saúde,158760.58
16,Ministério do Trabalho,96454.35
14,Ministério do Desenvolvimento Regional,87152.06999999999
13,Ministério de Minas e Energia,67006.71
4,"Ministério da Ciência, Tecnologia, Inovações ",42572.0
11,Ministério das Comunicações,35235.67
1,Banco Central do Brasil - Orçamento Fiscal e ,29915.33
0,Advocacia-Geral da União,20746.79
18,Ministério do Turismo,20635.4
8,Ministério da Infraestrutura,14576.52
2,Controladoria-Geral da União,3867.54
17,Ministério do Trabalho e Emprego,2126.3
12,Ministério das Relações Exteriores,1478.9
