index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
20,Presidência da República,2461518.27
9,Ministério da Justiça e Segurança Pública,1634681.0
6,Ministério da Economia,815362.25
7,Ministério da Educação,792057.87
5,Ministério da Defesa,483987.96
16,Ministério do Meio Ambiente,254432.5
3,"Ministério da Agricultura, Pecuária e Abastec",251097.65
11,Ministério da Saúde,181413.45
17,Ministério do Trabalho,139667.61
15,Ministério do Desenvolvimento Regional,78717.65
14,Ministério de Minas e Energia,62738.6
4,"Ministério da Ciência, Tecnologia, Inovações ",55417.42
1,Banco Central do Brasil - Orçamento Fiscal e ,28326.39
0,Advocacia-Geral da União,24241.08
12,Ministério das Comunicações,21172.3
19,Ministério do Turismo,15741.08
8,Ministério da Infraestrutura,9861.63
2,Controladoria-Geral da União,2988.4
18,Ministério do Trabalho e Emprego,1888.51
10,"Ministério da Mulher, Família e Direitos Huma",1138.8
13,Ministério das Relações Exteriores,796.95
