index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
20,Presidência da República,2269404.02
9,Ministério da Justiça e Segurança Pública,1829479.42
7,Ministério da Educação,631348.88
6,Ministério da Economia,598794.57
3,"Ministério da Agricultura, Pecuária e Abastec",264140.6
5,Ministério da Defesa,253383.93
11,Ministério da Saúde,177154.06
16,Ministério do Meio Ambiente,165771.31
17,Ministério do Trabalho,82356.31
15,Ministério do Desenvolvimento Regional,79900.83
14,Ministério de Minas e Energia,62065.37
4,"Ministério da Ciência, Tecnologia, Inovações ",38061.85
0,Advocacia-Geral da União,25669.31
1,Banco Central do Brasil - Orçamento Fiscal e ,18234.79
8,Ministério da Infraestrutura,18191.25
19,Ministério do Turismo,15353.04
13,Ministério das Relações Exteriores,8778.32
12,Ministério das Comunicações,8623.56
2,Controladoria-Geral da União,3035.6
18,Ministério do Trabalho e Emprego,1360.74
10,"Ministério da Mulher, Família e Direitos Huma",570.0
