index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
18,Presidência da República,1801873.6300000001
9,Ministério da Justiça e Segurança Pública,1438255.62
6,Ministério da Economia,497681.12
7,Ministério da Educação,324837.98
10,Ministério da Saúde,154845.66
5,Ministério da Defesa,149745.47
3,"Ministério da Agricultura, Pecuária e Abastec",100290.41
14,Ministério do Meio Ambiente,82051.93000000001
15,Ministério do Trabalho,58328.44
13,Ministério do Desenvolvimento Regional,38289.95
12,Ministério de Minas e Energia,33478.17
1,Banco Central do Brasil - Orçamento Fiscal e ,28641.77
4,"Ministério da Ciência, Tecnologia, Inovações ",16333.42
0,Advocacia-Geral da União,13430.36
11,Ministério das Comunicações,12566.2
8,Ministério da Infraestrutura,5976.15
17,Ministério do Turismo,4417.66
2,Controladoria-Geral da União,1753.0
16,Ministério do Trabalho e Emprego,495.72
