index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
9,Ministério da Justiça e Segurança Pública,3280013.43
20,Presidência da República,2512711.37
6,Ministério da Economia,2031311.37
5,Ministério da Defesa,834316.06
7,Ministério da Educação,622296.34
3,"Ministério da Agricultura, Pecuária e Abastec",287938.16
16,Ministério do Meio Ambiente,186467.05
11,Ministério da Saúde,172933.36
17,Ministério do Trabalho,102354.87
4,"Ministério da Ciência, Tecnologia, Inovações ",82981.37
15,Ministério do Desenvolvimento Regional,76064.74
14,Ministério de Minas e Energia,69387.27
1,Banco Central do Brasil - Orçamento Fiscal e ,36367.41
13,Ministério das Relações Exteriores,20254.76
0,Advocacia-Geral da União,17500.57
8,Ministério da Infraestrutura,16963.05
19,Ministério do Turismo,12286.24
18,Ministério do Trabalho e Emprego,11064.9
12,Ministério das Comunicações,4917.9400000000005
2,Controladoria-Geral da União,2647.06
10,Ministério da Previdência Social,1540.0
