index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
9,Ministério da Justiça e Segurança Pública,3295032.37
20,Presidência da República,2813194.74
6,Ministério da Economia,1857838.83
7,Ministério da Educação,720118.35
5,Ministério da Defesa,528465.63
3,"Ministério da Agricultura, Pecuária e Abastec",349574.72
16,Ministério do Meio Ambiente,223603.79
11,Ministério da Saúde,144358.88
17,Ministério do Trabalho,86135.47
4,"Ministério da Ciência, Tecnologia, Inovações ",77704.69
15,Ministério do Desenvolvimento Regional,64038.97
14,Ministério de Minas e Energia,44054.03
1,Banco Central do Brasil - Orçamento Fiscal e ,41035.08
0,Advocacia-Geral da União,27694.35
8,Ministério da Infraestrutura,14251.65
12,Ministério das Comunicações,13330.3
19,Ministério do Turismo,12765.14
18,Ministério do Trabalho e Emprego,6462.79
13,Ministério das Relações Exteriores,2260.45
2,Controladoria-Geral da União,1724.99
10,"Ministério da Mulher, Família e Direitos Huma",965.9
