index,NOME ÓRGÃO SUPERIOR,VALOR TRANSAÇÃO
9,Ministério da Justiça e Segurança Pública,3382706.13
20,Presidência da República,2355973.25
6,Ministério da Economia,1876132.14
5,Ministério da Defesa,930579.61
7,Ministério da Educação,695556.66
3,"Ministério da Agricultura, Pecuária e Abastec",367365.09
11,Ministério da Saúde,181423.07
16,Ministério do Meio Ambiente,160676.99
17,Ministério do Trabalho,95144.28
15,Ministério do Desenvolvimento Regional,90158.93
4,"Ministério da Ciência, Tecnologia, Inovações ",85479.19
14,Ministério de Minas e Energia,67158.31
1,Banco Central do Brasil - Orçamento Fiscal e ,32432.47
0,Advocacia-Geral da União,31991.51
8,Ministério da Infraestrutura,22152.63
19,Ministério do Turismo,10920.0
12,Ministério das Comunicações,10919.0
2,Controladoria-Geral da União,7925.1
18,Ministério do Trabalho e Emprego,3229.0
10,"Ministério da Mulher, Família e Direitos Huma",2772.2
13,Ministério das Relações Exteriores,279.85
